,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
Slc17a7,0.18959238,0,0.19606315,0,0.15962781,0.23508143,0.29094487,0,0,0.17637552,0.15838358,0,0.16039193,0,0,0.20024829,0.26170656,0,0.24340309,0.12785295,0.20666759,0,0.14440416,0,0.25709808,0,0.154169,0,0,0.25067222,0,0,0.15368429,0.12918055,0.11745093,0,0.27769506,0.21490869,0.41714466,0.21577163,0.2693458,0.23775078,0.45778832,0.1748403,0.3515364,0,0.1748578,0.29881352,0.3627154,0.2298773,0.2592895,0.18760629,0.19520356,0.19010726,0.17497534,0.2668114,0.119397685,0.18209653,0.28232682,0.19418481,0.3282085,0.1726889,0.27712864,0,0.19368306,0.16893628,0.2666271,0.306968,0.36449128,0.31005993,0,0.18981631,0.3615487,0.16311216,0.3757337,0.19095755,0.28126556,0,0.16272572,0.14567293,0.34291464,0.2816198,0.23309933,0.24344797,0.22765447,0.21633309,0.18063147,0,0.24384263,0.24971734,0.30404246,0.25447553,0,0,0,0,0.40295655,0,0.3642266,0,0.18184641,0.302443,0.12651505,0,0.21662772,0,0.19901103,0.23802388,0,0.13579416,0,0.20390122,0,0.117529936,0,0,0,0.18708062,0.16812706,0.20582752,0,0.14680265,0,0.2267207,0.16002771,0,0.23291706,0.25081038,0.19601528,0.1743254,0.17295042,0.23323695,0,0.148847,0.18959223,0,0.19972245,0,0.2520141,0,0,0,0,0.26499057,0.15759236,0.16275485,0,0.22638412,0.21587318,0.2409802,0.21953768,0.15110826,0.33938912,0.24018776,0.21778952,0.16377372,0.28128836,0,0.34691066,0.31977293,0.2297769,0.3547928,0.15797824,0.36725435,0.48014846,0.474898,0.22714353,0.17236726,0.28059012,0,0,0.13453752,0.11807869,0,0.15159756
Sall4,0.789748,0.81630665,0.79421896,0.76356256,0.7917213,0.808999,0.8460903,0.80522877,0.8328206,0.80365473,0.81175673,0.7213769,0.781833,0.8412447,0.82285595,0.8240278,0.82586586,0.80643994,0.8047828,0.8051119,0.7674855,0.64662945,0.76562214,0.7907554,0.8419061,0.8410222,0.8361472,0.8209548,0.80608267,0.79741216,0.79641455,0.81551284,0.75592655,0.7475122,0.77772,0.76569474,0.78802145,0.80946606,0.83904237,0.82660395,0.81411123,0.7976251,0.8062023,0.7121738,0.7827192,0.75822055,0.8122756,0.76739097,0.7904498,0.773056,0.8157387,0.77313405,0.7380566,0.80238676,0.8100403,0.72588557,0.8175011,0.795626,0.79754704,0.810322,0.7947962,0.789152,0.76549107,0.79893154,0.79070187,0.79768366,0.81555295,0.7299659,0.7767545,0.7968361,0.72524446,0.7269692,0.728647,0.7271312,0.80940354,0.7640163,0.8014649,0.71603644,0.81838346,0.75212795,0.8234096,0.76548076,0.8043898,0.7552573,0.82122135,0.8139252,0.64452386,0.5944375,0.8301119,0.7773076,0.7611458,0.802069,0.7000822,0.81432885,0.80008024,0.7813885,0.71341014,0.74882495,0.80764484,0.795396,0.8049692,0.7655044,0.78723735,0.8379228,0.8170188,0.8758048,0.73005354,0.79113835,0.8015152,0.74692875,0.87904763,0.7966607,0.87674135,0.773738,0.8407792,0.52283114,0.83539397,0.7403845,0.75636756,0.77991575,0.7797576,0.80593944,0.7927862,0.77499527,0.8386108,0.8412668,0.8012576,0.76495624,0.77329695,0.826858,0.8405982,0.8563565,0.7834508,0.76762325,0.77031875,0.7839178,0.8493391,0.8114428,0.7666755,0.80424476,0.79354,0.7804066,0.67956007,0.7580792,0.7989817,0.8154409,0.77092236,0.8490977,0.7469911,0.7164817,0.7854634,0.79859877,0.8038531,0.778881,0.771943,0.7705053,0.8484204,0.80695206,0.8068663,0.83093196,0.7611775,0.8298983,0.77845746,0.81506765,0.8114618,0.75043154,0.822257,0.802608,0.77673906,0.7761318,0.75259745,0.75713754,0.77898866,0.7464777,0.76179385
Mki67,0.6282068,0.65189093,0.6376495,0.660911,0.6409127,0.62841237,0.62656,0.6144513,0.49333847,0.6959166,0.63387305,0.6573969,0.70936286,0.6446484,0.65007913,0.6740734,0.603019,0.64044833,0.63362885,0.7002191,0.66976345,0.42099646,0.66424614,0.36527035,0.669184,0.49800834,0.58873045,0.46824336,0.6173841,0.65692925,0.6801009,0.7244908,0.6651186,0.5987156,0.62976867,0.60618573,0.71931607,0.64804167,0.67280084,0.6177453,0.57901883,0.59292525,0.5500423,0.55694157,0.6368872,0.55371827,0.53106993,0.6146264,0.64953953,0.71707827,0.68791217,0.5076618,0.6079932,0.6279712,0.5766318,0.6344147,0.606419,0.6141115,0.61847365,0.66026926,0.59283024,0.55120236,0.71845883,0.56609744,0.58685035,0.58655775,0.56318945,0.6910392,0.5749546,0.6975594,0.65437233,0.52199405,0.56542563,0.7366222,0.57702196,0.6966338,0.58836055,0.49490958,0.5905087,0.6801334,0.62297195,0.59416455,0.58064115,0.6627459,0.54656494,0.61661774,0.4799216,0.3930896,0.71618265,0.66682327,0.6437371,0.65837747,0.6409531,0.6459666,0.5763139,0.67932063,0.5454155,0.6238242,0.66434824,0.6938611,0.6457596,0.5966176,0.5782754,0.70838827,0.62483513,0.53406405,0.6568997,0.63554186,0.6489698,0.61345065,0.55471,0.57374173,0.54745865,0.66028446,0.6297703,0.5588581,0.75717825,0.6501495,0.59198,0.510079,0.6664352,0.60986465,0.62888646,0.60426974,0.6966626,0.566797,0.5606324,0.64244056,0.6452954,0.67634416,0.56219643,0.7077743,0.64762557,0.5331406,0.6431138,0.6566516,0.6824157,0.659931,0.55394465,0.5556136,0.70756024,0.65900224,0.5452426,0.556,0.6303075,0.6229863,0.43340048,0.6646083,0.5384489,0.66295385,0.5744948,0.6294236,0.70299006,0.65316975,0.6382738,0.58084124,0.6637331,0.6044378,0.7088369,0.66259456,0.6156902,0.6193769,0.74486506,0.6169875,0.6933437,0.67998236,0.6060394,0.6024299,0.57128364,0.5731539,0.55037594,0.6073799,0.6147489,0.6224769,0.6126317
Nanog,0.2653952,0.72395873,0.5286057,0.2316681,0.6540466,0,0.53633624,0.56163293,0.63124174,0.67937,0,0.17815945,0.16039193,0.6979552,0.61077344,0.5859818,0.6301872,0.59816396,0.65711683,0.6096066,0.1398729,0.5568508,0,0.4057115,0.6034548,0.535046,0.7323888,0.2157696,0.45233124,0.85060745,0.3967691,0.5063135,0.574736,0.75473624,0.8658756,0.6199755,0.39093223,0.5979933,0.8747968,0.67561036,0.57274485,0.65343004,0.58660084,0.32715487,0.45592064,0.6873343,0.3306942,0.7011261,0.6606524,0.31155476,0.5538204,0.18760629,0.8124375,0.7255056,0.7141091,0.3496306,0.7328949,0.45651484,0.6819843,0.64223385,0.859634,0.5571553,0.4013805,0.9051842,0.5538031,0.88072115,0.57604057,0.62228596,0.5928003,0.69943154,0.35273162,0.46157533,0.5903004,0.23454939,0.89296806,0.26680556,0.20360097,0,0.7762756,0.51357025,0.8627481,0.56282085,0.93689495,0.61770135,0.4167165,0,0.3608593,0,0.80280775,0.7072443,0.7004586,0.7489196,0.82583284,0.53039145,0.5639083,0.13412446,0.5124538,0.4934167,0,0.34173506,0.18184641,0.56962323,0.808002,0.697168,0,0.2446898,0.3433364,0.944955,0.45079705,0.5777645,0.45319933,0.68701583,0,0.7791104,0.2562312,0,0.6671467,0.18708062,0.8702293,0.5710226,0.76341313,0.46629792,0.46398115,0.50770414,0.40102318,0.43891034,0.47036657,0.36181226,0.4492661,0.5647033,0.357123,0.81004804,0.38157192,0.4921819,0.3746825,0.5577679,0.6027762,0.44771835,0.2520141,0.6202233,0.26073438,0.5164379,0.5059203,0.6989591,0.57209015,0.650129,0.2702503,0.8470747,0.21587318,0.19728158,0,0,0.82765234,0.5946711,0.8703563,0.36692524,0.8776896,0.20561455,0.7579601,0.7484573,0.7578769,0.688471,0.87461114,0.8043039,0.74000853,0.3831942,0.53765535,0.67329365,0.47489017,0.52232856,0.33723697,0,0.3814455,0.576739,0.22171384
Mtf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdk1,0.77735674,0.81175375,0.68665725,0.7304367,0.73889804,0.74488676,0.7714887,0.69606817,0.59390175,0.77577084,0.72847396,0.7674381,0.7730974,0.7708899,0.7880592,0.7792852,0.73219067,0.73227465,0.72392094,0.8099979,0.78095615,0.65103495,0.7708662,0.60101837,0.7348525,0.6028487,0.75094026,0.5307313,0.6379693,0.7490214,0.7261487,0.7668836,0.7267736,0.66457695,0.68366075,0.74961907,0.8263795,0.76281154,0.8110279,0.74514467,0.68754673,0.6613492,0.6896931,0.6722052,0.6737212,0.72568727,0.68633425,0.7420309,0.664164,0.7938516,0.7916164,0.61885107,0.71555996,0.73323464,0.74585956,0.74286336,0.7983796,0.7165447,0.6941194,0.6668639,0.7754653,0.67704874,0.8296902,0.69978255,0.66518915,0.7332562,0.68459827,0.71484727,0.6426043,0.74762726,0.77726334,0.7006525,0.65270114,0.8292743,0.6721005,0.7946216,0.6340903,0.6223721,0.6889809,0.7910245,0.6902957,0.7537606,0.65603954,0.701299,0.6977418,0.71622616,0.6843898,0.5211182,0.7569115,0.71122354,0.74026513,0.6848769,0.70620126,0.698467,0.7251566,0.77740556,0.621362,0.75070876,0.74495095,0.8221715,0.81392986,0.69720936,0.7310093,0.74177414,0.71469456,0.68717456,0.75106984,0.807959,0.68951607,0.7328765,0.659132,0.655216,0.7243665,0.782365,0.73980844,0.7094988,0.8223524,0.77737933,0.6817052,0.6077625,0.724571,0.7756779,0.7477624,0.6574028,0.8009075,0.7824907,0.7175235,0.7541181,0.79492044,0.7702008,0.717272,0.77351,0.72857326,0.68474793,0.7149062,0.776657,0.7867734,0.8276484,0.54043514,0.7271548,0.8077464,0.77306664,0.69324726,0.7077609,0.71139675,0.73068756,0.608921,0.7539711,0.74169147,0.7783345,0.698652,0.799344,0.80254495,0.74487096,0.7865523,0.69146174,0.6217948,0.7226189,0.6811446,0.6397834,0.6468583,0.7059282,0.7985048,0.71898144,0.65073276,0.6637722,0.7178414,0.66230524,0.651943,0.71504456,0.6656155,0.7460267,0.7680467,0.7285995,0.67270863
Klf6,0.47877964,0.41048178,0.5527882,0.51078206,0.47315788,0.596136,0.53633624,0.3604839,0.6919142,0.58213913,0.57125133,0.5771143,0.6446362,0.62282234,0.5897656,0.48562935,0.51831704,0.5549279,0.63989234,0.5750384,0.43958363,0.89285856,0.62759703,0.4219237,0.6168287,0.57022494,0.44828898,0.33702478,0.51410306,0.4370469,0.550083,0.5566759,0.5787019,0.4332939,0.5672327,0.40539828,0.55127007,0.48537424,0.60451573,0.49595526,0.5182741,0.4819472,0.5500423,0.49975362,0.5142507,0.49433312,0.4999317,0.5266639,0.5165513,0.5452622,0.68610835,0.6220253,0.579732,0.51328224,0.58169943,0.37733626,0.44097713,0.5336453,0.3679293,0.38431698,0.54153067,0.48116183,0.7288791,0.388717,0.3199242,0.2902131,0.37987074,0.55636376,0.34513232,0.57106596,0.62601614,0.6036259,0.4263734,0.67023367,0.58678657,0.58534515,0.59994656,0.57109034,0.3684288,0.6424183,0.54062647,0.6073968,0.62158704,0.623879,0.6991494,0.6421818,0.50628895,0.46572235,0.66586965,0.39797044,0.659766,0.20948158,0.6376964,0.6459666,0.6414025,0.7330327,0.5299477,0.5648241,0.45656413,0.68603665,0.45669472,0.5314986,0.47475964,0.59568036,0.62937444,0.48701972,0.58676654,0.47888705,0.33465055,0.541909,0.64428496,0.6032337,0.42409313,0.4996575,0.44438484,0.7285314,0.6913859,0.4945027,0.6415113,0.6287904,0.5670962,0.7899031,0.5082103,0.7141224,0.52838296,0.6594452,0.5348883,0.6099913,0.5526338,0.705038,0.6580361,0.5427722,0.60402256,0.4921819,0.6292712,0.6368862,0.5559408,0.44771835,0.5086372,0.55093557,0.46348995,0.6318036,0.4092068,0.36757907,0.6246282,0.5483728,0.6995387,0.4333228,0.55238336,0.48748606,0.67292935,0.6127119,0.52278906,0.6627783,0.41557944,0.541255,0.48624483,0.67773783,0.40710798,0.4499803,0.43843424,0.65274286,0.5549667,0.6331987,0.6805081,0.59926647,0.6060394,0.5038518,0.51512784,0.6443777,0.46206602,0.5856825,0.55637014,0.5592557,0.4623859
Tet1,0.704191,0.79646385,0.79297715,0.7285476,0.80722785,0.62841237,0.75203687,0.82198316,0.549299,0.71249896,0.78693026,0.7737546,0.7859935,0.81383425,0.7728619,0.7710385,0.7850192,0.7725495,0.74940985,0.7160631,0.75425184,0.5153157,0.7369347,0.6115989,0.7737886,0.63284767,0.81127405,0.5778964,0.7440783,0.78461623,0.78937316,0.8312154,0.79163915,0.74668497,0.76711345,0.6751646,0.76009077,0.7145641,0.78421247,0.76320803,0.7673066,0.7738547,0.7332212,0.77636623,0.746804,0.7739949,0.81567687,0.80343837,0.76486695,0.78917825,0.79076403,0.56810826,0.7390409,0.7214696,0.8091066,0.68605524,0.82782,0.800773,0.72513777,0.7844325,0.74940735,0.7826311,0.7288791,0.7449675,0.8149357,0.764794,0.7818383,0.7829913,0.7438139,0.8108303,0.72144544,0.64756334,0.77493715,0.7025251,0.77519226,0.798,0.7290607,0.6223721,0.74158025,0.6896486,0.80952954,0.6727777,0.775618,0.69961864,0.5215255,0.7715569,0.61016375,0.5723343,0.75205714,0.73181564,0.7844623,0.771038,0.7041919,0.6932192,0.707903,0.6440698,0.71341014,0.7851966,0.91339487,0.65937346,0.8150104,0.75332206,0.7920533,0.77987045,0.7418184,0.678376,0.71977746,0.71986276,0.69799125,0.73867553,0.54952013,0.7720831,0.6960009,0.7562407,0.72751695,0.67240936,0.61117876,0.80042785,0.69528234,0.6597017,0.7549312,0.5075981,0.8100201,0.7085823,0.8218021,0.7787335,0.71461284,0.7483567,0.76303524,0.7287228,0.72918105,0.7610078,0.7044733,0.73859835,0.6826012,0.64909357,0.8311032,0.783268,0.81083727,0.7475954,0.7759032,0.6480106,0.7534348,0.69115573,0.72987086,0.70233524,0.5742461,0.75072664,0.8031139,0.7706518,0.7660735,0.72743577,0.7595366,0.74487096,0.7510114,0.721742,0.7795189,0.57168716,0.7640751,0.75533015,0.7643994,0.75876427,0.80657905,0.78893805,0.83370095,0.7677213,0.76003456,0.80364156,0.6893067,0.6443777,0.77262,0.78179467,0.7860373,0.7138963,0.77582914
Efna5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccnd2,0,0.2730715,0.2728792,0,0.15962781,0,0.16976206,0.2969165,0,0,0.15838358,0.17815945,0,0.35526228,0.452501,0,0.3665589,0.31967336,0,0,0,0.58478576,0.14440416,0.1874262,0.41329777,0,0,0.2905978,0,0,0.4404872,0.2869234,0.40465948,0,0,0.144321,0,0,0.18299393,0.21577163,0.57274485,0.40827692,0.39643744,0,0.44050825,0.15160607,0.2484392,0.38440534,0.552375,0.33933055,0,0,0.12978159,0.19010726,0.38332516,0.23441926,0.119397685,0,0.3449006,0.2711578,0.17144561,0.1726889,0.32566842,0.16454121,0.19368306,0,0.2666271,0,0.3814265,0.31005993,0.303441,0.18981631,0.38091913,0.28090483,0.3757337,0.1268816,0,0,0,0.41788316,0.23170371,0.23610829,0.16028257,0,0.15852216,0,0,0,0,0,0,0,0.1743939,0,0,0.13412446,0.2685777,0.2053355,0.3642266,0.19792043,0.11870905,0.5358343,0.51512474,0.33960077,0.29401428,0.2446898,0.1334566,0.27163038,0.25228056,0.39120638,0,0.20390122,0.19319637,0.44548613,0.18101399,0.17045854,0.24594615,0.33034718,0.43616846,0.51946586,0.4782364,0.29324836,0,0,0,0.21710938,0.31305155,0.42208675,0.098964974,0.46104532,0.24662036,0,0.31865048,0.5170982,0.3746825,0,0.19972245,0,0.47879136,0.5188682,0,0,0.46094188,0.509059,0.5435721,0.4526289,0.19684589,0.18325709,0,0.13204812,0.21953768,0.15110826,0,0.16823234,0,0.38642335,0,0.13901775,0,0,0,0,0.15797824,0,0.26946753,0,0,0,0.31518522,0.12698673,0.22731888,0.2003489,0,0.4172658,0.4623859
Peg10,0.69731724,0.7443386,0.76842004,0.88280725,0.8204125,0.9028755,0.76275325,0.7513398,0.9144925,0.62164146,0.9048093,0.78075814,0.7536774,0.8742588,0.840547,0.9323638,0.7823037,0.71396,0.9182775,0.67949903,0.8025949,1,0.8917295,0.6442096,0.80732244,0.9045167,0.79056096,0.5886388,0.80181336,0.42173716,0.7568846,0.747317,0.8178688,0.80498135,0.7611429,0.8630567,0.6420176,0.69886225,0.5714903,0.7243302,0.81411123,0.66389036,0.71190846,0.5760484,0.7976484,0.5913502,0.7835925,0.9008842,0.73124087,0.7772674,0.7047683,0.63398004,0.8124375,0.7524682,0.9312428,0.76211584,0.6902184,0.79351074,0.7812029,0.71737975,0.84791917,0.73197836,0.88960177,0.43478924,0.661834,0.35366043,0.7818383,0.7701253,0.7481315,0.9337754,0.77297467,0.85498506,0.66408336,0.83754003,0.70385814,0.8472563,0.85600346,0.74106807,0.79276514,0.66810423,0.68814147,0.6429577,0.7196634,0.7213811,0.64837044,0.8238941,0.79551804,0.7037364,0.9091593,0.8845503,0.83227533,0.89592826,0.8594869,0.99758774,0.98559034,0.8808098,0.8692888,0.75256664,0.7690785,0.86106116,0.81229305,0.86773616,0.893066,0.87770635,0.7926533,0.60064113,0.85974944,0.8085913,0.54790074,0.8714453,0.5133092,0.52679855,0.653493,0.8540261,0.65998566,0.87345105,0.9192361,0.80042785,0.5837347,0.8630482,0.7624963,0.86293155,0.6797763,0.8938001,0.75729984,0.83443123,0.7447648,0.7327846,0.8236962,0.91521096,0.91781616,0.7517042,0.8665083,0.77927303,0.8332172,0.89577216,0.62378335,0.8061006,0.96237135,0.8057069,0.79665595,0.90244377,0.7122535,0.7960657,0.7847388,0.73202544,0.626572,0.7610031,0.888835,0.8473666,0.8852926,0.7098753,0.2116775,0.823663,0.55370104,0.7786467,0.4077975,0.8909214,0.70520777,0.50292397,0.7600862,0.859876,0.9503848,0.89485264,0.85292834,0.91421413,0.9113658,0.86030185,0.8417747,0.8924246,0.87389576,0.90986246,0.9175106,0.8540501,0.8935648
Lin28a,0.8245114,0.81962466,0.8943226,0.8825017,0.8181765,0.9078764,0.9197562,0.90197897,0.8637447,0.8883993,0.82116205,0.76416165,0.7515688,0.9161538,0.9016583,0.83831954,0.9200209,0.90935546,0.8551314,0.8612968,0.81962156,0.8245014,0.79368544,0.8547785,0.9244998,0.86067295,0.84395677,0.81524175,0.49276668,0.7692406,0.8699302,0.8714833,0.7932383,0.62374157,0.76046294,0.8042169,0.83241034,0.8366503,0.83721817,0.8598158,0.8480702,0.8604485,0.91000646,0.74148047,0.89741266,0.7827855,0.8284827,0.77099097,0.8926847,0.86639476,0.845235,0.73206526,0.8417726,0.86324525,0.8164032,0.75862384,0.86350495,0.83136094,0.8514641,0.83584315,0.8284237,0.8658286,0.76549107,0.81408364,0.87650424,0.8120398,0.825831,0.74237525,0.9051914,0.49867308,0.7676386,0.794729,0.8863789,0.78992105,0.9336015,0.8472563,0.9343906,0.7777021,0.88873,0.87087655,0.93915296,0.8427756,0.8998438,0.856886,0.8296593,0.8275762,0.816115,0.7590693,0.62319344,0.7573811,0.7472147,0.74066573,0.8670532,0.8302735,0.8177983,0.83237803,0.621362,0.8293276,0.80764484,0.8751677,0.8624436,0.8399636,0.8775649,0.87823766,0.8722659,0.9002938,0.7458968,0.8041035,0.9096252,0.8472813,0.803099,0.655216,0.9197089,0.7975787,0.92620796,0.6932032,0.89666027,0.8248721,0.7173321,0.8079279,0.79936236,0.8219355,0.8573203,0.8547801,0.91676974,0.89240205,0.8948427,0.8754789,0.854855,0.9077913,0.88279474,0.86508906,0.8852674,0.828659,0.8896876,0.89205873,0.88061905,0.7010032,0.8773245,0.90311277,0.7767967,0.9041651,0.7989354,0.8202202,0.8770336,0.9009896,0.80393004,0.85344654,0.8341711,0.788778,0.85112786,0.9070998,0.7595366,0.80193245,0.79643923,0.8742703,0.7308229,0.84755987,0.7744375,0.71680164,0.7813355,0.8219497,0.7748221,0.8864279,0.8488746,0.74090517,0.86654574,0.8436081,0.8525325,0.8767527,0.8821038,0.85394996,0.8798128,0.88789576,0.85035276
